SCHOOL_DISTANCE,NEEDS_SCHOOL_BUS,CENSUS_REGION,HHFAMINC,HH_RACE,HH_HISP,MSASIZE,URBRUR
2.625,0,Middle Atlantic,"$10,000 to $14,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Pacific,"$25,000 to $34,999",Other,Yes,Not in MSA or CMSA,Rural
2.625,1,Pacific,"$25,000 to $34,999",Other,Yes,Not in MSA or CMSA,Rural
2.625,0,Pacific,"$25,000 to $34,999",White,No,Not in MSA or CMSA,Rural
2.625,0,West North Central,"$125,000 to $149,999",White,No,"In an MSA of 500,000 - 999,999",Urban
4.024,0,Pacific,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.91,0,West North Central,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Urban
3.724,0,East North Central,"$125,000 to $149,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,East North Central,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Rural
2.625,1,East North Central,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Rural
2.625,1,East North Central,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Rural
2.625,0,West South Central,"$100,000 to $124,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
3.137,0,South Atlantic,"$35,000 to $49,999",White,No,In an MSA or CMSA of 3 million or more,Urban
3.137,0,South Atlantic,"$35,000 to $49,999",White,No,In an MSA or CMSA of 3 million or more,Urban
3.792,1,South Atlantic,"$35,000 to $49,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$200,000 or more",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,Mountain,"$75,000 to $99,999",White,Yes,"In an MSA of Less than 250,000",Urban
2.625,0,West South Central,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
3.952,0,Mountain,"$50,000 to $74,999",Other,No,Not in MSA or CMSA,Urban
2.362,0,Mountain,"$50,000 to $74,999",Other,No,Not in MSA or CMSA,Urban
1.652,1,East North Central,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.179,1,East North Central,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,West South Central,"$75,000 to $99,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,East North Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,East North Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
8.41,1,South Atlantic,"$15,000 to $24,999",White,No,"In an MSA of Less than 250,000",Rural
9.919,1,South Atlantic,"$15,000 to $24,999",White,No,"In an MSA of Less than 250,000",Rural
9.942,1,South Atlantic,"$15,000 to $24,999",White,No,"In an MSA of Less than 250,000",Rural
9.942,1,South Atlantic,"$15,000 to $24,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,1,East North Central,"$150,000 to $199,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,1,East North Central,"$150,000 to $199,999",White,No,"In an MSA of Less than 250,000",Rural
3.543,0,Pacific,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.772,0,Pacific,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.096,0,East North Central,"$15,000 to $24,999",White,No,Not in MSA or CMSA,Urban
1.096,0,East North Central,"$15,000 to $24,999",White,No,Not in MSA or CMSA,Urban
2.625,0,Pacific,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.538,0,West South Central,"$35,000 to $49,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Mountain,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,Pacific,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Pacific,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Pacific,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,South Atlantic,"$125,000 to $149,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
6.148,0,East North Central,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
3.984,1,East North Central,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
6.081,1,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.523,0,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
3.449,1,East North Central,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
3.449,1,East North Central,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,West South Central,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,Middle Atlantic,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Rural
1.473,0,Mountain,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,West South Central,"$50,000 to $74,999",Black or African American,No,"In an MSA of 500,000 - 999,999",Urban
2.677,0,Mountain,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
2.677,0,Mountain,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
2.625,1,East North Central,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Rural
2.625,0,West South Central,"$75,000 to $99,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$75,000 to $99,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
3.885,0,East South Central,"$25,000 to $34,999",White,No,Not in MSA or CMSA,Rural
2.625,0,Pacific,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Urban
0.543,1,East North Central,"$125,000 to $149,999",White,No,Not in MSA or CMSA,Urban
1.414,0,West South Central,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
5.942,0,Pacific,"Less than $10,000",Other,Yes,Not in MSA or CMSA,Urban
0.534,0,West South Central,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Urban
0.534,0,West South Central,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,1,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Rural
0.91,0,South Atlantic,"$50,000 to $74,999",Other,No,"In an MSA of 250,000 - 499,999",Urban
0.91,0,South Atlantic,"$50,000 to $74,999",Other,No,"In an MSA of 250,000 - 499,999",Urban
5.728,0,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Rural
5.728,0,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Rural
12.766,1,South Atlantic,"$200,000 or more",Asian,No,"In an MSA of 500,000 - 999,999",Urban
14.728,1,West South Central,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,West South Central,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.89,0,West South Central,"$75,000 to $99,999",Other,No,In an MSA or CMSA of 3 million or more,Rural
1.89,0,West South Central,"$75,000 to $99,999",Other,No,In an MSA or CMSA of 3 million or more,Rural
2.625,0,West South Central,"$25,000 to $34,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
2.625,0,West South Central,"$25,000 to $34,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
50.073,0,West North Central,"$200,000 or more",Asian,No,"In an MSA of 250,000 - 499,999",Urban
3.809,0,Pacific,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.097,0,Pacific,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.282,0,Pacific,"$150,000 to $199,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
1.282,0,Pacific,"$150,000 to $199,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
6.813,0,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,Mountain,"$100,000 to $124,999",Other,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Mountain,"$100,000 to $124,999",Other,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Mountain,"$100,000 to $124,999",Other,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Mountain,"$100,000 to $124,999",Other,No,In an MSA or CMSA of 3 million or more,Urban
0.764,0,South Atlantic,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Urban
0.763,0,South Atlantic,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Urban
4.273,0,South Atlantic,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Urban
4.273,0,South Atlantic,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Urban
15.119,1,West South Central,"$35,000 to $49,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
15.119,1,West South Central,"$35,000 to $49,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
3.649,0,West South Central,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Mountain,"$125,000 to $149,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,Mountain,"$125,000 to $149,999",White,No,"In an MSA of Less than 250,000",Rural
2.142,1,Middle Atlantic,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.141,1,Middle Atlantic,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.119,0,West South Central,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.708,0,East North Central,"$125,000 to $149,999",White,No,"In an MSA of 500,000 - 999,999",Urban
1.708,0,East North Central,"$125,000 to $149,999",White,No,"In an MSA of 500,000 - 999,999",Urban
0.779,0,West South Central,"$50,000 to $74,999",Other,Yes,In an MSA or CMSA of 3 million or more,Urban
0.779,0,West South Central,"$50,000 to $74,999",Other,Yes,In an MSA or CMSA of 3 million or more,Urban
0.774,0,West South Central,"$125,000 to $149,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
1.54,0,West South Central,"$125,000 to $149,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
0.562,0,West North Central,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
1.061,0,Middle Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.836,0,Middle Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,Pacific,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,Middle Atlantic,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"$150,000 to $199,999",Other,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.95,1,West South Central,"$50,000 to $74,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
1.474,1,West South Central,"$50,000 to $74,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Middle Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Middle Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Middle Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Middle Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
1.715,0,West South Central,"$50,000 to $74,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,East North Central,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,Middle Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Middle Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,East North Central,"$125,000 to $149,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,East North Central,"$125,000 to $149,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,South Atlantic,"Less than $10,000",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.625,0,South Atlantic,"Less than $10,000",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.685,1,West South Central,"$125,000 to $149,999",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,South Atlantic,"$35,000 to $49,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
2.625,0,Pacific,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,West South Central,"$100,000 to $124,999",American Indian or Alaska Native,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$100,000 to $124,999",American Indian or Alaska Native,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Middle Atlantic,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
5.933,0,West South Central,"$125,000 to $149,999",White,No,"In an MSA of Less than 250,000",Rural
5.933,0,West South Central,"$125,000 to $149,999",White,No,"In an MSA of Less than 250,000",Rural
5.674,1,South Atlantic,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,East North Central,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$50,000 to $74,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$50,000 to $74,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
0.757,1,Middle Atlantic,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Middle Atlantic,"Less than $10,000",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.908,0,West South Central,"$75,000 to $99,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,South Atlantic,"$10,000 to $14,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,Pacific,"$125,000 to $149,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.0,0,West South Central,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"$25,000 to $34,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.86,0,South Atlantic,"$15,000 to $24,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,West South Central,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$25,000 to $34,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,Mountain,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Mountain,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Mountain,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Mountain,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$50,000 to $74,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
1.739,0,West South Central,"$125,000 to $149,999",Other,No,"In an MSA of 250,000 - 499,999",Urban
0.797,0,Mountain,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Urban
0.797,0,Mountain,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Urban
3.514,1,East North Central,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Urban
0.931,0,Pacific,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.516,0,Mountain,No data,No data,No,"In an MSA of Less than 250,000",Urban
2.625,0,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Urban
8.973,0,Pacific,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Urban
10.262,1,South Atlantic,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
6.39,1,South Atlantic,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
4.229,1,South Atlantic,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,South Atlantic,"Less than $10,000",Black or African American,No,"In an MSA of Less than 250,000",Urban
14.716,1,South Atlantic,"$15,000 to $24,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
14.716,1,South Atlantic,"$15,000 to $24,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.625,0,Middle Atlantic,"$35,000 to $49,999",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
12.921,0,West South Central,"$25,000 to $34,999",Other,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
12.921,0,West South Central,"$25,000 to $34,999",Other,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
3.801,0,West South Central,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Rural
3.801,0,West South Central,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Rural
2.625,0,Middle Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Urban
7.237,0,South Atlantic,"$100,000 to $124,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
3.052,1,Pacific,"$35,000 to $49,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,Middle Atlantic,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Rural
4.783,0,West South Central,"Less than $10,000",American Indian or Alaska Native,Yes,"In an MSA of 500,000 - 999,999",Urban
2.492,1,South Atlantic,No data,White,No,"In an MSA of 500,000 - 999,999",Urban
3.562,0,South Atlantic,No data,White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,Pacific,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$125,000 to $149,999",White,No,"In an MSA of 500,000 - 999,999",Urban
1.892,0,East North Central,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.892,0,East North Central,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
3.163,0,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,East North Central,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
2.625,0,West South Central,"$10,000 to $14,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
5.093,0,West South Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.557,0,West South Central,"$10,000 to $14,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.557,0,West South Central,"$10,000 to $14,999",White,No,In an MSA or CMSA of 3 million or more,Urban
5.007,0,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
5.007,0,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
4.609,1,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
4.609,1,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,Middle Atlantic,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Middle Atlantic,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
3.813,0,Middle Atlantic,"$150,000 to $199,999",White,No,"In an MSA of Less than 250,000",Urban
7.148,0,Pacific,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.073,0,Pacific,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,Pacific,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,South Atlantic,"$75,000 to $99,999",Black or African American,No,"In an MSA of 500,000 - 999,999",Urban
11.524,1,South Atlantic,"Less than $10,000",Black or African American,No,Not in MSA or CMSA,Urban
2.625,0,Pacific,"$35,000 to $49,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,East North Central,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Urban
1.822,0,East North Central,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.18,0,East North Central,"$150,000 to $199,999",Other,Yes,"In an MSA of 500,000 - 999,999",Urban
3.831,1,East North Central,"$150,000 to $199,999",Other,Yes,"In an MSA of 500,000 - 999,999",Urban
22.413,0,Middle Atlantic,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Urban
1.187,1,Middle Atlantic,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Urban
1.187,1,Middle Atlantic,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Urban
3.575,0,South Atlantic,"$35,000 to $49,999",White,No,"In an MSA of 500,000 - 999,999",Rural
0.943,0,South Atlantic,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.944,0,South Atlantic,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.092,0,Middle Atlantic,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
3.293,0,Middle Atlantic,"$15,000 to $24,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
1.6,0,Middle Atlantic,"$15,000 to $24,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
5.164,1,Middle Atlantic,"$15,000 to $24,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
0.574,1,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.945,1,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.472,0,South Atlantic,"$15,000 to $24,999",White,No,In an MSA or CMSA of 3 million or more,Rural
4.676,1,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
4.676,1,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
6.182,1,West South Central,"$25,000 to $34,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
1.683,1,West South Central,"$25,000 to $34,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
4.015,0,West South Central,"$25,000 to $34,999",Black or African American,No,"In an MSA of 250,000 - 499,999",Urban
0.558,0,East North Central,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Urban
0.315,0,East North Central,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Urban
0.314,0,East North Central,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Urban
2.625,0,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Rural
60.103,0,East North Central,"$10,000 to $14,999",White,No,Not in MSA or CMSA,Rural
2.625,0,South Atlantic,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
0.507,0,East North Central,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
0.507,0,East North Central,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
20.537,0,Mountain,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
2.119,0,East North Central,"$25,000 to $34,999",White,No,Not in MSA or CMSA,Rural
2.119,0,East North Central,"$25,000 to $34,999",White,No,Not in MSA or CMSA,Rural
0.437,0,West South Central,"$150,000 to $199,999",Other,No,In an MSA or CMSA of 3 million or more,Urban
1.388,0,Pacific,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.911,0,Pacific,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
3.655,0,South Atlantic,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Rural
3.649,0,South Atlantic,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Rural
0.722,1,West South Central,"$25,000 to $34,999",Black or African American,No,"In an MSA of 250,000 - 499,999",Urban
7.765,0,Pacific,"$125,000 to $149,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
3.135,0,Pacific,"$125,000 to $149,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,West South Central,"$15,000 to $24,999",Black or African American,No,"In an MSA of 250,000 - 499,999",Rural
13.672,1,West South Central,"$15,000 to $24,999",Black or African American,No,"In an MSA of 250,000 - 499,999",Rural
13.672,1,West South Central,"$15,000 to $24,999",Black or African American,No,"In an MSA of 250,000 - 499,999",Rural
0.16,0,West North Central,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.594,0,West North Central,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.594,0,West North Central,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,West North Central,"$125,000 to $149,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,West North Central,"$125,000 to $149,999",White,No,"In an MSA of 500,000 - 999,999",Urban
0.957,0,East North Central,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
0.556,0,East North Central,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
7.256,0,South Atlantic,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
6.6325,0,West South Central,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Rural
2.625,1,East North Central,"Less than $10,000",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,West South Central,"$15,000 to $24,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Mountain,"$35,000 to $49,999",White,Yes,Not in MSA or CMSA,Urban
2.326,0,West North Central,"$150,000 to $199,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,1,West South Central,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.315,0,Pacific,"$50,000 to $74,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,Middle Atlantic,"$35,000 to $49,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,Middle Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,New England,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Rural
