SCHOOL_DISTANCE,NEEDS_SCHOOL_BUS,CENSUS_REGION,HHFAMINC,HH_RACE,HH_HISP,MSASIZE,URBRUR
1.144,0,East South Central,"Less than $10,000",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.775,0,East South Central,"Less than $10,000",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.775,0,East South Central,"Less than $10,000",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.775,0,East South Central,"Less than $10,000",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,East North Central,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.021,0,West South Central,"$25,000 to $34,999",White,No,In an MSA or CMSA of 3 million or more,Urban
16.234,0,East North Central,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
2.625,0,East North Central,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
2.015,1,Mountain,"$50,000 to $74,999",White,Yes,Not in MSA or CMSA,Urban
0.209,0,West South Central,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.208,0,West South Central,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
4.436,0,West South Central,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,West North Central,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.576,1,West North Central,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.593,1,South Atlantic,"$75,000 to $99,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
3.616,1,South Atlantic,"$75,000 to $99,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
8.161,0,New England,"$200,000 or more",White,No,Not in MSA or CMSA,Rural
2.625,0,West North Central,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,West North Central,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Urban
1.131,0,West South Central,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.565,0,West South Central,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.031,0,Pacific,"$10,000 to $14,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
1.031,0,Pacific,"$10,000 to $14,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$10,000 to $14,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
1.031,0,Pacific,"$10,000 to $14,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
1.031,0,Pacific,"$10,000 to $14,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$125,000 to $149,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,Middle Atlantic,"$75,000 to $99,999",Black or African American,Yes,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Mountain,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,East North Central,"$25,000 to $34,999",White,No,"In an MSA of 250,000 - 499,999",Urban
3.483,0,Pacific,"$50,000 to $74,999",Asian,No,"In an MSA of 500,000 - 999,999",Urban
3.483,0,Pacific,"$50,000 to $74,999",Asian,No,"In an MSA of 500,000 - 999,999",Urban
1.614,0,Pacific,"$50,000 to $74,999",Asian,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Pacific,"$50,000 to $74,999",Asian,No,"In an MSA of 250,000 - 499,999",Urban
4.863,1,East South Central,"$35,000 to $49,999",White,No,Not in MSA or CMSA,Rural
4.863,1,East South Central,"$35,000 to $49,999",White,No,Not in MSA or CMSA,Rural
2.625,0,Pacific,"$25,000 to $34,999",No data,Yes,"In an MSA of 250,000 - 499,999",Urban
2.625,0,Pacific,"$25,000 to $34,999",No data,Yes,"In an MSA of 250,000 - 499,999",Urban
1.805,0,South Atlantic,"$150,000 to $199,999",White,No,Not in MSA or CMSA,Urban
1.984,0,South Atlantic,"$150,000 to $199,999",White,No,Not in MSA or CMSA,Urban
8.351,0,Pacific,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Urban
0.204,0,Pacific,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Rural
2.625,0,Pacific,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Rural
2.323,0,Pacific,"$125,000 to $149,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.699,0,Pacific,"$125,000 to $149,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,Pacific,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Pacific,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
3.89,0,South Atlantic,"$100,000 to $124,999",Black or African American,No,"In an MSA of 500,000 - 999,999",Urban
5.378,0,South Atlantic,"$100,000 to $124,999",Black or African American,No,"In an MSA of 500,000 - 999,999",Urban
1.619,0,Pacific,"$100,000 to $124,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
5.105,0,South Atlantic,"$125,000 to $149,999",White,No,"In an MSA of 250,000 - 499,999",Rural
3.491,0,Pacific,No data,White,No,In an MSA or CMSA of 3 million or more,Urban
1.591,1,West South Central,"$100,000 to $124,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
5.486,0,Pacific,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Urban
4.196,0,West South Central,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Rural
2.568,0,West South Central,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,1,South Atlantic,"$25,000 to $34,999",Black or African American,No,Not in MSA or CMSA,Rural
6.476,0,Pacific,"$25,000 to $34,999",No data,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,East North Central,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
12.309,0,West South Central,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.846,0,Mountain,"Less than $10,000",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.904,0,Mountain,"Less than $10,000",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"$75,000 to $99,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
2.625,1,West South Central,"$15,000 to $24,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
3.442,1,Mountain,"Less than $10,000",White,Yes,"In an MSA of Less than 250,000",Urban
2.945,1,Mountain,"Less than $10,000",White,Yes,"In an MSA of Less than 250,000",Urban
2.945,1,Mountain,"Less than $10,000",White,Yes,"In an MSA of Less than 250,000",Urban
10.901,0,Pacific,"$25,000 to $34,999",White,No,In an MSA or CMSA of 3 million or more,Urban
10.901,0,Pacific,"$25,000 to $34,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.164,0,West South Central,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Middle Atlantic,"$25,000 to $34,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,East North Central,"$25,000 to $34,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,West North Central,"$200,000 or more",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,Mountain,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.643,0,West South Central,"$50,000 to $74,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
4.897,0,West South Central,"$50,000 to $74,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.625,0,South Atlantic,"$15,000 to $24,999",White,No,"In an MSA of Less than 250,000",Urban
4.516,0,Mountain,"$35,000 to $49,999",White,No,"In an MSA of Less than 250,000",Rural
8.827,1,South Atlantic,"$50,000 to $74,999",No data,No,Not in MSA or CMSA,Rural
2.625,1,Middle Atlantic,"$100,000 to $124,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
1.309,0,Pacific,"$100,000 to $124,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.47,0,Pacific,"$100,000 to $124,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Middle Atlantic,"$25,000 to $34,999",White,No,"In an MSA of 500,000 - 999,999",Urban
7.867,0,East North Central,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.877,1,Middle Atlantic,"Less than $10,000",Other,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,Middle Atlantic,"Less than $10,000",Other,No,"In an MSA of 500,000 - 999,999",Urban
1.877,1,Middle Atlantic,"Less than $10,000",Other,No,"In an MSA of 500,000 - 999,999",Urban
1.877,1,Middle Atlantic,"Less than $10,000",Other,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,East North Central,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,East North Central,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,Middle Atlantic,"$10,000 to $14,999",White,No,"In an MSA of 500,000 - 999,999",Urban
19.283,0,South Atlantic,"$15,000 to $24,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
6.751,0,West South Central,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
6.368,1,West South Central,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,West South Central,"$25,000 to $34,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
9.553,0,South Atlantic,"$50,000 to $74,999",Black or African American,No,"In an MSA of 500,000 - 999,999",Urban
1.86,1,South Atlantic,"$15,000 to $24,999",White,No,Not in MSA or CMSA,Rural
6.482,1,East North Central,"$35,000 to $49,999",White,No,Not in MSA or CMSA,Rural
2.625,1,East North Central,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,East North Central,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,East North Central,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.17,0,West South Central,"$75,000 to $99,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
0.515,0,East North Central,"$25,000 to $34,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,East North Central,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Rural
7.968,1,South Atlantic,No data,Other,Yes,Not in MSA or CMSA,Rural
2.625,0,West South Central,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.777,1,West South Central,"$75,000 to $99,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,West South Central,"$50,000 to $74,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.774,0,Pacific,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,South Atlantic,"Less than $10,000",Black or African American,No,"In an MSA of Less than 250,000",Rural
0.977,0,Pacific,"$15,000 to $24,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$75,000 to $99,999",Other,No,"In an MSA of 250,000 - 499,999",Urban
4.989,0,Pacific,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,Pacific,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,Pacific,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,East North Central,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Urban
4.152,1,Pacific,"$15,000 to $24,999",White,No,Not in MSA or CMSA,Rural
4.152,1,Pacific,"$15,000 to $24,999",White,No,Not in MSA or CMSA,Rural
4.152,1,Pacific,"$15,000 to $24,999",White,No,Not in MSA or CMSA,Rural
2.625,1,Pacific,"$15,000 to $24,999",White,No,Not in MSA or CMSA,Rural
2.625,1,Pacific,"$15,000 to $24,999",White,No,Not in MSA or CMSA,Rural
8.801,0,South Atlantic,"$35,000 to $49,999",White,No,"In an MSA of 500,000 - 999,999",Rural
3.607,0,South Atlantic,"$35,000 to $49,999",White,No,"In an MSA of 500,000 - 999,999",Rural
2.625,0,Pacific,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
5.686,1,Pacific,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
5.793,1,Pacific,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,1,Middle Atlantic,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Urban
2.625,1,East North Central,"$100,000 to $124,999",No data,No data,"In an MSA of Less than 250,000",Urban
2.625,0,West South Central,"$50,000 to $74,999",No data,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,West South Central,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,West South Central,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
17.992,0,South Atlantic,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
3.393,1,East South Central,"$75,000 to $99,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,South Atlantic,"Less than $10,000",Black or African American,No,"In an MSA of Less than 250,000",Rural
2.625,0,South Atlantic,"Less than $10,000",Black or African American,No,"In an MSA of Less than 250,000",Rural
2.625,0,East North Central,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,East North Central,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Urban
5.259,0,East North Central,"$15,000 to $24,999",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
3.285,0,East North Central,"$15,000 to $24,999",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,West South Central,"$200,000 or more",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$200,000 or more",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West North Central,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Rural
2.625,1,West South Central,"$100,000 to $124,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$100,000 to $124,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$35,000 to $49,999",Other,Yes,"In an MSA of 250,000 - 499,999",Urban
2.625,0,Pacific,"$150,000 to $199,999",White,No,Not in MSA or CMSA,Urban
2.625,1,Middle Atlantic,"$125,000 to $149,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,West South Central,"Less than $10,000",White,No,Not in MSA or CMSA,Urban
2.625,1,South Atlantic,"$200,000 or more",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,South Atlantic,"$200,000 or more",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,South Atlantic,"$200,000 or more",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,West North Central,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
7.536,1,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
7.536,1,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
4.814,0,East North Central,"$35,000 to $49,999",Other,No,"In an MSA of 500,000 - 999,999",Urban
2.184,0,Pacific,"$50,000 to $74,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
2.625,0,West South Central,"$75,000 to $99,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
2.946,1,South Atlantic,"$10,000 to $14,999",Black or African American,No,Not in MSA or CMSA,Urban
2.625,0,Pacific,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Middle Atlantic,"$15,000 to $24,999",No data,Yes,In an MSA or CMSA of 3 million or more,Urban
2.4965,0,Pacific,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.4965,0,Pacific,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,West South Central,"$75,000 to $99,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Pacific,"$15,000 to $24,999",Other,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
3.119,0,West South Central,"$200,000 or more",White,Yes,In an MSA or CMSA of 3 million or more,Urban
