GASPRICE,NUMADLT,DRVRCNT,HHSIZE,HHVEHCNT,YOUNGCHILD,NEEDS_SCHOOL_BUS,DISTANCE_FROM_SCHOOL,CDIVMSAR_New England MSA/CMSA of 1 million+ with heavy rail,CDIVMSAR_New England MSA/CMSA of 1 million+ w/o heavy rail,CDIVMSAR_New England MSA of less than 1 million,CDIVMSAR_New England Not in an MSA,CDIVMSAR_Mid-Atlantic MSA/CMSA of 1 million+ with heavy rail,CDIVMSAR_Mid-Atlantic MSA/CMSA of 1 million+ w/o heavy rail,CDIVMSAR_Mid-Atlantic MSA of less than 1 million,CDIVMSAR_East North Central MSA/CMSA of 1 million+ with heavy rail,CDIVMSAR_East North Central MSA/CMSA of 1 million+ w/o heavy rail,CDIVMSAR_East North Central MSA of less than 1 million,CDIVMSAR_East North Central Not in an MSA,CDIVMSAR_West North Central MSA/CMSA of 1 million+ w/o heavy rail,CDIVMSAR_West North Central MSA of less than 1 million,CDIVMSAR_West North Central Not in an MSA,CDIVMSAR_South Atlantic MSA/CMSA of 1 million+ with heavy rail,CDIVMSAR_South Atlantic MSA/CMSA of 1 million+ w/o heavy rail,CDIVMSAR_South Atlantic MSA of less than 1 million,CDIVMSAR_South Atlantic Not in an MSA,CDIVMSAR_East South Central MSA/CMSA of 1 million+ w/o heavy rail,CDIVMSAR_East South Central MSA of less than 1 million,CDIVMSAR_East South Central Not in an MSA,CDIVMSAR_West South Central MSA/CMSA of 1 million+ w/o heavy rail,CDIVMSAR_West South Central MSA of less than 1 million,CDIVMSAR_West South Central Not in an MSA,CDIVMSAR_Mountain MSA/CMSA of 1 million+ w/o heavy rail,CDIVMSAR_Mountain MSA of less than 1 million,CDIVMSAR_Mountain Not in an MSA,CDIVMSAR_Pacific MSA/CMSA of 1 million+ with heavy rail,CDIVMSAR_Pacific MSA/CMSA of 1 million+ w/o heavy rail,CDIVMSAR_Pacific MSA of less than 1 million,CENSUS_D_New England,CENSUS_D_Middle Atlantic,CENSUS_D_East North Central,CENSUS_D_West North Central,CENSUS_D_South Atlantic,CENSUS_D_East South Central,CENSUS_D_West South Central,CENSUS_D_Mountain,CENSUS_D_Pacific,CENSUS_R_Northeast,CENSUS_R_Midwest,CENSUS_R_South,CENSUS_R_West,HHFAMINC_I prefer not to answer,"HHFAMINC_Less than $10,000","HHFAMINC_$10,000 to $14,999","HHFAMINC_$15,000 to $24,999","HHFAMINC_$25,000 to $34,999","HHFAMINC_$35,000 to $49,999","HHFAMINC_$50,000 to $74,999","HHFAMINC_$75,000 to $99,999","HHFAMINC_$100,000 to $124,999","HHFAMINC_$125,000 to $149,999","HHFAMINC_$150,000 to $199,999","HHFAMINC_$200,000 or more",HH_HISP_Hispanic or Latino,HH_HISP_Not Hispanic or Latino,HH_RACE_White,HH_RACE_Black or African American,HH_RACE_Asian,HH_RACE_American Indian/Alaska Native,HH_RACE_Native Hawaiian/Pacific Islander,HH_RACE_Multiple races selected,HH_RACE_Other race,HOMEOWN_Owned by hh member with mortgage or loan,HOMEOWN_Owned by hh member free and clear (no mortgage),HOMEOWN_Rented by hh member,HOMEOWN_Occupied without payment,HOMETYPE_One-family detached,"HOMETYPE_One-family attached (townhome, condo)",HOMETYPE_Building with 2 or more apartments,HOMETYPE_Mobile home,"LIF_CYC_one adult, no children","LIF_CYC_2+ adults, no children","LIF_CYC_one adult, youngest child 0-5","LIF_CYC_2+ adults, youngest child 0-5","LIF_CYC_one adult, youngest child 6-15","LIF_CYC_2+ adults, youngest child 6-15","LIF_CYC_one adult, youngest child 16-21","LIF_CYC_2+ adults, youngest child 16-21","LIF_CYC_2+ adults, retired, no children","MSACAT_MSA of 1 million or more, with rail","MSACAT_MSA of 1 million or more, without rail",MSACAT_MSA less than 1 million,MSACAT_Not in MSA,"MSASIZE_In an MSA of Less than 250,000","MSASIZE_In an MSA of 250,000 - 499,999","MSASIZE_In an MSA of 500,000 - 999,999","MSASIZE_In an MSA or CMSA of 1,000,000 - 2,999,999",MSASIZE_In an MSA or CMSA of 3 million or more,MSASIZE_Not in MSA or CMSA,URBAN_In an urban area,URBAN_In an Urban cluster,URBAN_Not in urban area,"URBANSIZE_50,000-199,999","URBANSIZE_200,000-499,999","URBANSIZE_500,000-999,999","URBANSIZE_1,000,000 or more with heavy rail","URBANSIZE_1,000,000 or more without heavy rail",URBANSIZE_Not in urbanized area,URBRUR_Urban,URBRUR_Rural
353.8,3,2,5,2,0,0,1.79987569919204,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
353.8,2,2,4,3,1,1,10.6724673710379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
360.6,2,2,3,1,0,0,0.415786202610317,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
334.6,2,2,3,2,0,1,4.73710379117464,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
324.6,2,3,3,4,0,0,0.979490366687383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
324.6,1,1,3,1,0,1,6.81976382846489,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
324.6,1,1,3,1,0,1,6.81976382846489,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
334.6,2,2,4,2,1,1,2.13486637663145,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
324.6,1,2,3,5,0,0,1.15164698570541,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
324.6,2,2,4,2,1,0,0.437538844002486,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
334.6,2,2,5,3,0,1,4.23990055935364,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
334.6,2,2,5,3,0,1,1.35674331883157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
334.6,2,2,5,3,0,1,1.35674331883157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
318.3,3,3,6,3,0,1,11.9322560596644,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
318.3,3,3,6,3,0,1,11.9322560596644,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
318.3,3,3,6,3,0,1,11.9322560596644,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
329.2,2,2,3,2,0,0,14.7712865133623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
347.4,2,2,4,2,1,0,3.40024860161591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
321.0,2,2,4,2,0,1,9.91920447482909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
321.0,2,2,4,2,0,1,4.71286513362337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
338.0,1,2,3,1,0,0,5.6438781852082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
338.0,1,2,3,1,0,0,4.04288377874456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
369.7,2,2,3,3,0,0,4.72218769422001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
329.2,2,2,2,1,0,0,6.80298321939093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
329.2,3,4,4,4,0,0,4.81044126786824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
324.6,3,3,5,4,0,0,0.70602858918583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
324.6,3,3,5,4,0,0,0.70602858918583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
325.5,1,1,3,2,0,1,2.5941578620261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
325.5,1,1,3,2,0,1,0.765692977004351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
319.4,1,1,3,1,1,0,9.88004972032318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
310.0,2,1,4,1,0,1,4.97141081417029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
